panel,variable,unit,anchor,n,mean,sd,min,p25,p50,p75,max
A. Independent Variables,GEPU_log,C,H24b,88205,4.687237550492872,0.36723262022929676,3.862590847280257,4.3796580049958065,4.723760342391389,4.96657929661077,5.510592233027738
A. Independent Variables,GPR_log,C,H25,88205,4.583786569372983,0.25536831657034753,4.161376810006794,4.416524935266544,4.511054749651969,4.725099219209972,5.882517556733241
A. Independent Variables,PRisk,C,H11,85995,99.61870321991627,146.5189381393413,0.0,17.077753,53.372898,120.197305,1192.4307959999976
A. Independent Variables,PRisk_lag,C,H11-Lag1,81766,99.69853557342417,146.67749525505636,0.0,17.137628,53.40468,120.239665,1192.4307959999976
A. Independent Variables,PRisk_lag2,C,H11-Lag2,80627,99.96139731203813,147.2391996244364,0.0,17.170185,53.444593,120.26658,1192.4307959999976
A. Independent Variables,TotalSimilarity,F,H23,22403,3.4277070481631924,5.652235628102901,1.0,1.1246,1.5865,3.0903,80.1876
A. Independent Variables,US_EPU_log,C,H24,88205,4.712320077467963,0.3661117188679523,3.8018230352635434,4.480486346407027,4.689128708370879,4.962532003270315,5.647795990634647
A. Independent Variables,UncAnsCEO,C,H1,71748,0.7806031614995578,0.3925496535348733,0.0,0.5146964215433986,0.7415399708591884,1.0018299421109724,2.5874355368026265
A. Independent Variables,UncAnsMgr,C,H1,84729,0.8188728609102521,0.3343664102983359,0.0,0.5891472868217054,0.7874015748031495,1.0135135135135136,2.1014230449451285
A. Independent Variables,UncPreCEO,C,H1,71727,0.6602043515719876,0.39167942868735917,0.0,0.38095238095238093,0.6000857265323617,0.8722741433021807,2.243216555554226
A. Independent Variables,UncPreMgr,C,H1,86795,0.8938328264269854,0.3508025907209692,0.0,0.6456241032998565,0.8533747090768037,1.0952107931246857,2.1547798590717986
B. Dependent Variables,BGTAvg_Amihud,C,H7e,86978,0.016698168474709604,0.10026469382734585,7.781018752697124e-06,0.0002357440554912806,0.0009989662348289152,0.004137011237366381,2.3333458043251487
B. Dependent Variables,BGTAvg_Amihud_lead1,C,H7e,82808,0.015750622804826735,0.09798468800327836,7.781018752697124e-06,0.00022345348580235958,0.0009370940623790935,0.0038227377290124104,2.3333458043251487
B. Dependent Variables,BGTAvg_Spread,C,H14e,87086,0.0017747340120026955,0.0026685825802577356,0.00012557461374870698,0.0004550386637875318,0.0009204525025808287,0.0018039443005683398,0.01678219097450996
B. Dependent Variables,BGTAvg_Spread_lead1,C,H14e,82914,0.0016532052759506213,0.0024979336175199353,0.00012557461374870698,0.0004419805185197045,0.0008863863495236561,0.00170207258762548,0.01678219097450996
B. Dependent Variables,BGTDelta_Amihud,C,H7d,86557,-0.0011000322408086017,0.028066277220357767,-0.691339351689045,-0.0003548082915762141,-1.5934954838537827e-05,9.21878124829701e-05,0.335206036464021
B. Dependent Variables,BGTDelta_Amihud_lead1,C,H7d,82475,-0.00094845787577482,0.0271115021738057,-0.691339351689045,-0.00033637693688735263,-1.5624237906702976e-05,8.527513895776774e-05,0.335206036464021
B. Dependent Variables,BGTDelta_Spread,C,H14d,85189,-9.435334358302093e-05,0.0008485664954471911,-0.004444335586352753,-0.00017531384222044385,-1.8016903865434198e-05,8.540193643405826e-05,0.0030147039811410873
B. Dependent Variables,BGTDelta_Spread_lead1,C,H14d,81145,-7.987514682465877e-05,0.0007922293086753529,-0.004444335586352753,-0.00016368516992361712,-1.7098877399233405e-05,8.175228808019602e-05,0.0030147039811410873
B. Dependent Variables,BGTLevel_Amihud,C,H7c,86935,0.015069402148741293,0.0847332416044562,7.14880381154649e-06,0.0002219574236286985,0.000931839978000491,0.0038045286521555216,1.6839189842483064
B. Dependent Variables,BGTLevel_Amihud_lead1,C,H7c,82766,0.01425138224507665,0.08309567015261973,7.14880381154649e-06,0.00021109372905957555,0.0008700893857271528,0.003545497664033995,1.6839189842483064
B. Dependent Variables,BGTLevel_Spread,C,H14c,87018,0.001719790343843993,0.00259319648435122,0.00012088463238430581,0.00044055486466248935,0.0008899955299493615,0.0017440710157603267,0.01636549626000147
B. Dependent Variables,BGTLevel_Spread_lead1,C,H14c,82843,0.0016071041075140563,0.0024386249406312867,0.00012088463238430581,0.0004274422954291592,0.0008563282691820985,0.0016470095865361515,0.01636549626000147
B. Dependent Variables,CCCL,C,H18,88205,0.003174423218638399,0.056252841094313145,0.0,0.0,0.0,0.0,1.0
B. Dependent Variables,Capex,C,H1,87627,0.04870769677995469,0.05355488438055879,0.0,0.01761155036561016,0.032409581963363084,0.05924767203509766,0.5202943270828388
B. Dependent Variables,Capex_lead,C,H13,81582,0.04808804324033461,0.052466793454353816,0.0,0.017491060353577784,0.03210433438438336,0.05852966841186737,0.5202943270828388
B. Dependent Variables,Capex_lead2,C,H13.2,73542,0.04762119870804908,0.051321208703070685,0.0,0.017478850963415397,0.03210433438438336,0.05810562354191759,0.5202943270828388
B. Dependent Variables,Capex_lead3,C,H13.2,66062,0.04716628735700157,0.050616019213768765,0.0,0.017406858125019173,0.03192090395480226,0.057584838422288814,0.5202943270828388
B. Dependent Variables,Capex_lead4,C,H13.2,58987,0.046542497910713194,0.04978223672174688,0.0,0.017196821818381766,0.031644420780038,0.056872469175121704,0.5202943270828388
B. Dependent Variables,CashRatio,C,H1,87990,0.1707773840349389,0.1805782873601746,0.0,0.03684772732658089,0.10474044236030018,0.24351709344788908,0.9937589510879604
B. Dependent Variables,CashRatio_lead,C,H1,82236,0.17149449790570787,0.17483069213617453,0.0,0.04070901994796184,0.1111945151270051,0.24465262808821092,0.9937589510879604
B. Dependent Variables,ChangDebtChoice,C,H20b,20448,0.7597809076682316,0.42722687907556084,0.0,1.0,1.0,1.0,1.0
B. Dependent Variables,ChangDebtChoice_lead,C,H20b,18720,0.7974358974358975,0.4019210323155312,0.0,1.0,1.0,1.0,1.0
B. Dependent Variables,ChangExternalFunding,C,H19b,87532,0.2506054928483298,0.43336419482387883,0.0,0.0,0.0,1.0,1.0
B. Dependent Variables,ChangExternalFunding_lead,C,H19b,81563,0.24459620170910829,0.42985016598611936,0.0,0.0,0.0,0.0,1.0
B. Dependent Variables,DISP,C,H5,37446,0.0016638709174605726,0.00275137466241799,0.0,0.0003072124997269681,0.0007451421779599346,0.001770126131050504,0.017941164226372132
B. Dependent Variables,DISP_lead,C,H5,37015,0.001656101053329627,0.0027429966145088623,0.0,0.0003063723189609625,0.0007451771049329911,0.0017596893009443923,0.017941164226372132
B. Dependent Variables,DSPREAD,C,H14,87119,-0.00019236762980084397,0.0016681251041851285,-0.008137605077068184,-0.0004066498331071909,-4.444348861021546e-05,0.0001326914475510079,0.006449795544387789
B. Dependent Variables,DSPREAD_lead1,C,H14,82964,-0.0001888815085510401,0.0015871397205618183,-0.008137605077068184,-0.00038868219688676915,-4.335566544976179e-05,0.00012399188691624704,0.006449795544387789
B. Dependent Variables,DebtToCapital,C,H4b,87760,0.3449518819971243,0.35405406337795403,0.0,0.06892979269118706,0.30636317240516786,0.49140751766612367,4.469105585451877
B. Dependent Variables,DebtToCapital_lead,C,H4b,82024,0.34947231229583975,0.3535677664217472,0.0,0.07734169898118934,0.31099722094924975,0.49579535084534543,4.469105585451877
B. Dependent Variables,DeltaILLIQ,C,H7,86906,-0.0012781249589988958,0.024947227750680392,-0.5050405750407542,-0.0005648461517849254,-2.5555725357582197e-05,0.0001437889223307618,0.30026579106018525
B. Dependent Variables,DeltaILLIQ_lead1,C,H7,82735,-0.0011840527767770378,0.02428807749565246,-0.5050405750407542,-0.0005250252678978267,-2.4091608138503758e-05,0.0001347080633345433,0.30026579106018525
B. Dependent Variables,DivPayerQ,C,H12b,88134,0.42353688701295755,0.49412160713309505,0.0,0.0,0.0,1.0,1.0
B. Dependent Variables,DivPayerQ_lead1,C,H12b,83755,0.42896543489940897,0.49493132376749543,0.0,0.0,0.0,1.0,1.0
B. Dependent Variables,EquityDelayCon_lead,F,H22,13212,-0.0269563964230775,0.07716647163113691,-0.257747645,-0.08140727425,-0.0292678665,0.023334621425,0.3005918013
B. Dependent Variables,Leverage,C,H1,87994,0.23304554989172105,0.22402968942955434,0.0,0.04701570844312084,0.20653253281376407,0.3454542365497485,3.9453025178504326
B. Dependent Variables,Leverage_lead,C,H4a,82242,0.23517335303449832,0.22477996069112047,0.0,0.052971634967543126,0.20904561776638284,0.34797600296850856,3.9453025178504326
B. Dependent Variables,PayoutRatio_q,C,H12,70695,0.24198721672752127,0.6534293407490052,0.0,0.0,0.0,0.27943920608436496,9.219389393939394
B. Dependent Variables,PayoutRatio_q_lead_qtr,C,H12,68167,0.24373368162601244,0.6562432527668064,0.0,0.0,0.0,0.2815729585354008,9.219389393939394
B. Dependent Variables,PostCallAmihud,C,H7b,86906,0.01181917924673224,0.06802879624913065,0.0,0.0001722420911326505,0.0007240810387928822,0.003096436601246953,1.9001003255714006
B. Dependent Variables,PostCallAmihud_lead1,C,H7b,82735,0.011152529818665904,0.06690206656766107,0.0,0.0001637737362205594,0.0006800762587493098,0.00284616586521694,1.9001003255714006
B. Dependent Variables,PostCallSpread,C,H14b,87119,0.0017103281753865535,0.002814836320687836,-0.007531172696012601,0.00037445100703437746,0.000786885679222696,0.001713831354385388,0.025024012451028643
B. Dependent Variables,PostCallSpread_lead1,C,H14b,82964,0.0015992361504714404,0.0026586430705768612,-0.007531172696012601,0.0003650533583963154,0.0007571615985519137,0.0016193149223802886,0.025024012451028643
B. Dependent Variables,RDSales,C,H1,87647,0.10472315975941676,0.9342120217920787,0.0,0.0,0.004796816785582874,0.06364332635092759,39.768799212598864
B. Dependent Variables,RDSales_lead,C,H16,81607,0.09896591488479856,0.9084230508292522,0.0,0.0,0.0050499047306888185,0.06377365563916026,39.768799212598864
B. Dependent Variables,RepurchaseIntensity,C,H17,83734,0.007317699008293191,0.014795022338345884,0.0,0.0,0.0,0.007402855155254494,0.09189852569760248
B. Dependent Variables,RepurchaseIntensity_lead_qtr,C,H17,80289,0.007474566676887936,0.014912522869270679,0.0,0.0,0.0,0.007808658342573399,0.09189852569760248
B. Dependent Variables,SEC_Letters_fwd,C,H21,88205,0.12637605577915084,0.48729128092035184,0.0,0.0,0.0,0.0,12.0
C. Firm Controls,AbsSurpDec,C,H14,61544,2.930033796958274,1.4255128633046628,0.0,2.0,3.0,4.0,5.0
C. Firm Controls,CashFlowAt,C,H1,87670,0.10192702684823646,0.11472349478420314,-3.032429218314047,0.06082598823155992,0.10316995594117416,0.1525840893477421,0.48739584691375326
C. Firm Controls,DISP_lag,C,H5,36411,0.0016445234158672052,0.002733098274016472,0.0,0.00030182533892317694,0.0007349503813953733,0.0017452229392673946,0.017941164226372132
C. Firm Controls,DailyVola,C,H1,82599,36.755585353107584,21.243721103548516,9.438760003111025,22.97092804942004,31.276168942545812,43.81475373400242,211.9159502615182
C. Firm Controls,DivDummy,C,H1,88134,0.47552590373749065,0.49940349261666384,0.0,0.0,0.0,1.0,1.0
C. Firm Controls,EarnVol,C,H11,87440,0.07007180770608393,0.19072124591661013,0.000600270155179196,0.016345467399124135,0.03145335863813524,0.06945632052416507,19.510147674361107
C. Firm Controls,FirmMat,C,H11,87571,-0.04323278876532515,2.1826195638598533,-317.57142857142856,-0.007793702270111937,0.21914354878852924,0.41952038235950306,0.9252054794520548
C. Firm Controls,Loss,C,H5,88129,0.19531595728988188,0.39644598310441004,0.0,0.0,0.0,0.0,1.0
C. Firm Controls,NegCall,C,H5,86858,0.9209679832948956,0.3023723992624374,0.0,0.7037871910975291,0.8798332947441537,1.094338315817536,2.390121597073538
C. Firm Controls,ROA,C,H1,87552,0.03864312214018576,0.13296247062425642,-3.982637115718517,0.01463907117617365,0.05253600277743767,0.09247855000898676,0.5490023740970854
C. Firm Controls,SalesGrowth,C,H1,87506,0.11727686461990408,0.3849460230675568,-1.0,-0.00433077300212453,0.07454854097570927,0.17615698738659585,10.305133333333117
C. Firm Controls,StockPrice,C,H7,87188,38.69386050362435,51.71946904121437,0.0345,14.8975,28.24,48.17,2080.02002
C. Firm Controls,SurpDec,C,H5,61544,1.2084687378135968,3.0260376819119794,-5.0,-1.0,2.0,4.0,5.0
C. Firm Controls,TobinsQ,C,H1,87363,2.1363002346448474,1.5197391664215611,0.3847360135959342,1.2680813860733848,1.6791370381662714,2.4361949477378286,35.61444380925542
C. Firm Controls,Turnover,C,H7,87188,0.027278579299260648,0.04198278284809819,0.0,0.008301434579758082,0.015954850952387648,0.03103511583105776,3.7726085087459236
C. Firm Controls,UncQue,C,H5,81031,1.4398411526911643,0.4831432076361588,0.0,1.12163113378895,1.4107883817427387,1.726844583987441,3.5944615384615384
C. Firm Controls,lnAssets,C,H1,87994,7.470971428031775,1.6607466386651457,-0.5691612007789542,6.3008078127694676,7.376329136552975,8.543594830591964,12.459237028256341
C. Firm Controls,sCFO,C,H1,83662,0.0619153174006642,0.22330220954006177,0.0013994885784999664,0.023612045041250196,0.03946104152530132,0.0664003142549671,32.403494941212024
